"","date","sum_over_60_first_dose","sum_30_59_first_dose","sum_under_30_first_dose"
"1","2020-12-08",2093,2791,376
"2","2020-12-09",5758,7852,1187
"3","2020-12-10",10600,13740,2244
"4","2020-12-11",15642,20036,3325
"5","2020-12-12",19418,25768,4346
"6","2020-12-13",21576,29090,4976
"7","2020-12-14",26865,34926,5990
"8","2020-12-15",74978,45083,7606
"9","2020-12-16",158388,57105,9705
"10","2020-12-17",238370,71880,11967
"11","2020-12-18",298622,86872,14317
"12","2020-12-19",374745,99454,16347
"13","2020-12-20",435181,116146,18786
"14","2020-12-21",475308,136950,22050
"15","2020-12-22",539883,156368,25191
"16","2020-12-23",593979,179130,29148
"17","2020-12-24",608809,190025,30958
"18","2020-12-25",608891,190167,30992
"19","2020-12-26",609145,191381,31267
"20","2020-12-27",610004,194811,31869
"21","2020-12-28",611947,200706,33047
"22","2020-12-29",637149,218696,36519
"23","2020-12-30",705827,253684,42789
"24","2020-12-31",757655,286100,48638
"25","2021-01-01",771049,295761,50355
"26","2021-01-02",786627,307841,52733
"27","2021-01-03",791818,317177,54565
"28","2021-01-04",797922,334919,58398
"29","2021-01-05",816078,368458,65069
"30","2021-01-06",851742,413257,74010
"31","2021-01-07",982004,474137,85999
"32","2021-01-08",1151105,541466,99624
"33","2021-01-09",1296898,597936,110882
"34","2021-01-10",1361379,634612,118911
"35","2021-01-11",1410520,686357,130561
"36","2021-01-12",1508415,749884,144674
"37","2021-01-13",1674672,820577,160636
"38","2021-01-14",1868568,897450,177886
"39","2021-01-15",2096403,983935,197659
"40","2021-01-16",2301339,1053095,213879
"41","2021-01-17",2393054,1100103,224647
"42","2021-01-18",2468306,1160324,239722
"43","2021-01-19",2679225,1229142,256335
"44","2021-01-20",2902028,1305650,275267
"45","2021-01-21",3159619,1387148,294805
"46","2021-01-22",3518359,1478002,316436
"47","2021-01-23",3883884,1555926,334278
"48","2021-01-24",4019611,1599643,344231
"49","2021-01-25",4143104,1652843,357064
"50","2021-01-26",4292893,1715067,371685
"51","2021-01-27",4446951,1780304,387327
"52","2021-01-28",4696210,1850880,403342
"53","2021-01-29",5072042,1932855,420789
"54","2021-01-30",5446557,2004598,435739
"55","2021-01-31",5665242,2054326,445897
"56","2021-02-01",5867513,2103335,456379
"57","2021-02-02",6094066,2161201,467979
"58","2021-02-03",6373864,2230691,481314
"59","2021-02-04",6672987,2307435,495226
"60","2021-02-05",6975967,2389436,509839
"61","2021-02-06",7337531,2484451,525218
"62","2021-02-07",7509737,2528621,532534
"63","2021-02-08",7685959,2578712,541514
"64","2021-02-09",7916494,2641777,552526
"65","2021-02-10",8170009,2709024,564617
"66","2021-02-11",8468613,2786454,577963
"67","2021-02-12",8790004,2878814,593221
"68","2021-02-13",9114389,2973626,609841
"69","2021-02-14",9240615,3023085,617612
"70","2021-02-15",9376762,3077742,627567
"71","2021-02-16",9569217,3178371,641875
"72","2021-02-17",9804426,3339530,662299
"73","2021-02-18",10010693,3506037,683519
"74","2021-02-19",10161316,3652832,703064
"75","2021-02-20",10299369,3803200,723306
"76","2021-02-21",10344751,3860127,731610
"77","2021-02-22",10408652,3931060,741912
"78","2021-02-23",10513923,4087200,761918
"79","2021-02-24",10666434,4307245,788759
"80","2021-02-25",10832272,4547127,820150
"81","2021-02-26",11002287,4792314,852650
"82","2021-02-27",11136493,5003949,882930
"83","2021-02-28",11203988,5081608,894428
"84","2021-03-01",11272226,5149053,904834
"85","2021-03-02",11354146,5227799,916006
"86","2021-03-03",11454398,5339550,932286
"87","2021-03-04",11586359,5504952,955687
"88","2021-03-05",11730317,5717050,986250
"89","2021-03-06",11871591,5934163,1017558
"90","2021-03-07",11934847,6001435,1027440
"91","2021-03-08",12015924,6077144,1037818
"92","2021-03-09",12090059,6168328,1049029
"93","2021-03-10",12163496,6284112,1062870
"94","2021-03-11",12208065,6366046,1072567
"95","2021-03-12",12292213,6569731,1096730
"96","2021-03-13",12399981,6898447,1131393
"97","2021-03-14",12452416,7056241,1145980
"98","2021-03-15",12512172,7298150,1164202
"99","2021-03-16",12566103,7594192,1186762
"100","2021-03-17",12612460,7913802,1210125
"101","2021-03-18",12657628,8300638,1236038
"102","2021-03-19",12707901,8763162,1264505
"103","2021-03-20",12764340,9365696,1301729
"104","2021-03-21",12786331,9620797,1318976
"105","2021-03-22",12806395,9848724,1336109
"106","2021-03-23",12825737,10072222,1354415
"107","2021-03-24",12845306,10299510,1375948
"108","2021-03-25",12866024,10536691,1399590
"109","2021-03-26",12886696,10807305,1427110
"110","2021-03-27",12910646,11159512,1463887
"111","2021-03-28",12921199,11338400,1483906
"112","2021-03-29",12931813,11482351,1502794
"113","2021-03-30",12942796,11619556,1522894
"114","2021-03-31",12953920,11762773,1546998
"115","2021-04-01",12961439,11856026,1563327
"116","2021-04-02",12965081,11909719,1572771
"117","2021-04-03",12969485,11968742,1583127
