"","date","sum_liverpool_hospitals","hosp_cases_seven_day_average_liverpool","sum_sheffield_hospitals","hosp_cases_seven_day_average_sheffield"
"1","2020-03-19",0,NA,0,NA
"2","2020-03-20",6,NA,22,NA
"3","2020-03-21",11,NA,38,NA
"4","2020-03-22",13,NA,46,NA
"5","2020-03-23",13,NA,50,NA
"6","2020-03-24",0,NA,49,NA
"7","2020-03-25",28,10.1428571428571,65,38.5714285714286
"8","2020-03-26",46,16.7142857142857,107,53.8571428571429
"9","2020-03-27",89,28.5714285714286,119,67.7142857142857
"10","2020-03-28",108,42.4285714285714,154,84.2857142857143
"11","2020-03-29",134,59.7142857142857,168,101.714285714286
"12","2020-03-30",137,77.4285714285714,193,122.142857142857
"13","2020-03-31",186,104,200,143.714285714286
"14","2020-04-01",204,129.142857142857,248,169.857142857143
"15","2020-04-02",244,157.428571428571,297,197
"16","2020-04-03",134,163.857142857143,358,231.142857142857
"17","2020-04-04",277,188,404,266.857142857143
"18","2020-04-05",323,215,421,303
"19","2020-04-06",365,247.571428571429,259,312.428571428571
"20","2020-04-07",379,275.142857142857,261,321.142857142857
"21","2020-04-08",337,294.142857142857,273,324.714285714286
"22","2020-04-09",357,310.285714285714,279,322.142857142857
"23","2020-04-10",362,342.857142857143,263,308.571428571429
"24","2020-04-11",380,357.571428571429,262,288.285714285714
"25","2020-04-12",368,364,267,266.285714285714
"26","2020-04-13",415,371.142857142857,257,266
"27","2020-04-14",413,376,277,268.285714285714
"28","2020-04-15",409,386.285714285714,282,269.571428571429
"29","2020-04-16",392,391.285714285714,271,268.428571428571
"30","2020-04-17",374,393,259,267.857142857143
"31","2020-04-18",376,392.428571428571,256,267
"32","2020-04-19",371,392.857142857143,258,265.714285714286
"33","2020-04-20",341,382.285714285714,261,266.285714285714
"34","2020-04-21",323,369.428571428571,261,264
"35","2020-04-22",324,357.285714285714,245,258.714285714286
"36","2020-04-23",305,344.857142857143,221,251.571428571429
"37","2020-04-24",292,333.142857142857,207,244.142857142857
"38","2020-04-25",266,317.428571428571,193,235.142857142857
"39","2020-04-26",257,301.142857142857,179,223.857142857143
"40","2020-04-27",249,288,186,213.142857142857
"41","2020-04-28",251,277.714285714286,188,202.714285714286
"42","2020-04-29",242,266,193,195.285714285714
"43","2020-04-30",235,256,185,190.142857142857
"44","2020-05-01",217,245.285714285714,163,183.857142857143
"45","2020-05-02",298,249.857142857143,199,184.714285714286
"46","2020-05-03",209,243,202,188
"47","2020-05-04",228,240,216,192.285714285714
"48","2020-05-05",220,235.571428571429,207,195
"49","2020-05-06",209,230.857142857143,214,198
"50","2020-05-07",197,225.428571428571,211,201.714285714286
"51","2020-05-08",178,219.857142857143,206,207.857142857143
"52","2020-05-09",167,201.142857142857,202,208.285714285714
"53","2020-05-10",164,194.714285714286,135,198.714285714286
"54","2020-05-11",162,185.285714285714,224,199.857142857143
"55","2020-05-12",150,175.285714285714,234,203.714285714286
"56","2020-05-13",134,164.571428571429,239,207.285714285714
"57","2020-05-14",124,154.142857142857,219,208.428571428571
"58","2020-05-15",129,147.142857142857,196,207
"59","2020-05-16",117,140,180,203.857142857143
"60","2020-05-17",120,133.714285714286,168,208.571428571429
"61","2020-05-18",119,127.571428571429,168,200.571428571429
"62","2020-05-19",114,122.428571428571,161,190.142857142857
"63","2020-05-20",112,119.285714285714,151,177.571428571429
"64","2020-05-21",101,116,131,165
"65","2020-05-22",90,110.428571428571,124,154.714285714286
"66","2020-05-23",81,105.285714285714,116,145.571428571429
"67","2020-05-24",79,99.4285714285714,104,136.428571428571
"68","2020-05-25",82,94.1428571428571,106,127.571428571429
"69","2020-05-26",82,89.5714285714286,101,119
"70","2020-05-27",79,84.8571428571429,99,111.571428571429
"71","2020-05-28",71,80.5714285714286,96,106.571428571429
"72","2020-05-29",65,77,97,102.714285714286
"73","2020-05-30",56,73.4285714285714,87,98.5714285714286
"74","2020-05-31",54,69.8571428571429,82,95.4285714285714
"75","2020-06-01",55,66,80,91.7142857142857
"76","2020-06-02",55,62.1428571428571,74,87.8571428571429
"77","2020-06-03",53,58.4285714285714,71,83.8571428571429
"78","2020-06-04",53,55.8571428571429,74,80.7142857142857
"79","2020-06-05",51,53.8571428571429,70,76.8571428571429
"80","2020-06-06",49,52.8571428571429,63,73.4285714285714
"81","2020-06-07",49,52.1428571428571,63,70.7142857142857
"82","2020-06-08",47,51,64,68.4285714285714
"83","2020-06-09",39,48.7142857142857,55,65.7142857142857
"84","2020-06-10",36,46.2857142857143,55,63.4285714285714
"85","2020-06-11",38,44.1428571428571,54,60.5714285714286
"86","2020-06-12",39,42.4285714285714,55,58.4285714285714
"87","2020-06-13",35,40.4285714285714,50,56.5714285714286
"88","2020-06-14",38,38.8571428571429,53,55.1428571428571
"89","2020-06-15",40,37.8571428571429,53,53.5714285714286
"90","2020-06-16",39,37.8571428571429,53,53.2857142857143
"91","2020-06-17",42,38.7142857142857,52,52.8571428571429
"92","2020-06-18",37,38.5714285714286,48,52
"93","2020-06-19",34,37.8571428571429,51,51.4285714285714
"94","2020-06-20",33,37.5714285714286,49,51.2857142857143
"95","2020-06-21",43,38.2857142857143,52,51.1428571428571
"96","2020-06-22",29,36.7142857142857,54,51.2857142857143
"97","2020-06-23",33,35.8571428571429,53,51.2857142857143
"98","2020-06-24",35,34.8571428571429,51,51.1428571428571
"99","2020-06-25",35,34.5714285714286,50,51.4285714285714
"100","2020-06-26",31,34.1428571428571,49,51.1428571428571
"101","2020-06-27",34,34.2857142857143,48,51
"102","2020-06-28",35,33.1428571428571,48,50.4285714285714
"103","2020-06-29",34,33.8571428571429,51,50
"104","2020-06-30",34,34,49,49.4285714285714
"105","2020-07-01",32,33.5714285714286,44,48.4285714285714
"106","2020-07-02",30,32.8571428571429,44,47.5714285714286
"107","2020-07-03",28,32.4285714285714,41,46.4285714285714
"108","2020-07-04",28,31.5714285714286,39,45.1428571428571
"109","2020-07-05",24,30,36,43.4285714285714
"110","2020-07-06",23,28.4285714285714,36,41.2857142857143
"111","2020-07-07",21,26.5714285714286,39,39.8571428571429
"112","2020-07-08",19,24.7142857142857,36,38.7142857142857
"113","2020-07-09",20,23.2857142857143,34,37.2857142857143
"114","2020-07-10",19,22,29,35.5714285714286
"115","2020-07-11",20,20.8571428571429,26,33.7142857142857
"116","2020-07-12",22,20.5714285714286,27,32.4285714285714
"117","2020-07-13",19,20,28,31.2857142857143
"118","2020-07-14",17,19.4285714285714,29,29.8571428571429
"119","2020-07-15",16,19,30,29
"120","2020-07-16",16,18.4285714285714,32,28.7142857142857
"121","2020-07-17",14,17.7142857142857,26,28.2857142857143
"122","2020-07-18",8,16,24,28
"123","2020-07-19",7,13.8571428571429,25,27.7142857142857
"124","2020-07-20",11,12.7142857142857,26,27.4285714285714
"125","2020-07-21",12,12,25,26.8571428571429
"126","2020-07-22",13,11.5714285714286,24,26
"127","2020-07-23",15,11.4285714285714,23,24.7142857142857
"128","2020-07-24",14,11.4285714285714,24,24.4285714285714
"129","2020-07-25",11,11.8571428571429,64,30.1428571428571
"130","2020-07-26",12,12.5714285714286,21,29.5714285714286
"131","2020-07-27",10,12.4285714285714,21,28.8571428571429
"132","2020-07-28",13,12.5714285714286,19,28
"133","2020-07-29",11,12.2857142857143,18,27.1428571428571
"134","2020-07-30",10,11.5714285714286,16,26.1428571428571
"135","2020-07-31",8,10.7142857142857,19,25.4285714285714
"136","2020-08-01",7,10.1428571428571,18,18.8571428571429
"137","2020-08-02",8,9.57142857142857,18,18.4285714285714
"138","2020-08-03",8,9.28571428571429,18,18
"139","2020-08-04",7,8.42857142857143,18,17.8571428571429
"140","2020-08-05",7,7.85714285714286,18,17.8571428571429
"141","2020-08-06",9,7.71428571428571,19,18.2857142857143
"142","2020-08-07",7,7.57142857142857,18,18.1428571428571
"143","2020-08-08",7,7.57142857142857,17,18
"144","2020-08-09",6,7.28571428571429,16,17.7142857142857
"145","2020-08-10",8,7.28571428571429,17,17.5714285714286
"146","2020-08-11",8,7.42857142857143,18,17.5714285714286
"147","2020-08-12",9,7.71428571428571,19,17.7142857142857
"148","2020-08-13",10,7.85714285714286,20,17.8571428571429
"149","2020-08-14",9,8.14285714285714,20,18.1428571428571
"150","2020-08-15",8,8.28571428571429,20,18.5714285714286
"151","2020-08-16",6,8.28571428571429,18,18.8571428571429
"152","2020-08-17",6,8,18,19
"153","2020-08-18",6,7.71428571428571,17,18.8571428571429
"154","2020-08-19",5,7.14285714285714,19,18.8571428571429
"155","2020-08-20",5,6.42857142857143,19,18.7142857142857
"156","2020-08-21",4,5.71428571428571,19,18.5714285714286
"157","2020-08-22",3,5,18,18.2857142857143
"158","2020-08-23",3,4.57142857142857,16,18
"159","2020-08-24",4,4.28571428571429,16,17.7142857142857
"160","2020-08-25",3,3.85714285714286,15,17.4285714285714
"161","2020-08-26",4,3.71428571428571,16,17
"162","2020-08-27",4,3.57142857142857,16,16.5714285714286
"163","2020-08-28",5,3.71428571428571,15,16
"164","2020-08-29",5,4,14,15.4285714285714
"165","2020-08-30",4,4.14285714285714,13,15
"166","2020-08-31",6,4.42857142857143,15,14.8571428571429
"167","2020-09-01",9,5.28571428571429,16,15
"168","2020-09-02",11,6.28571428571429,18,15.2857142857143
"169","2020-09-03",11,7.28571428571429,18,15.5714285714286
"170","2020-09-04",13,8.42857142857143,15,15.5714285714286
"171","2020-09-05",15,9.85714285714286,17,16
"172","2020-09-06",19,12,17,16.5714285714286
"173","2020-09-07",22,14.2857142857143,31,18.8571428571429
"174","2020-09-08",23,16.2857142857143,17,19
"175","2020-09-09",26,18.4285714285714,19,19.1428571428571
"176","2020-09-10",26,20.5714285714286,16,18.8571428571429
"177","2020-09-11",26,22.4285714285714,27,20.5714285714286
"178","2020-09-12",24,23.7142857142857,24,21.5714285714286
"179","2020-09-13",23,24.2857142857143,26,22.8571428571429
"180","2020-09-14",26,24.8571428571429,26,22.1428571428571
"181","2020-09-15",31,26,18,22.2857142857143
"182","2020-09-16",33,27,32,24.1428571428571
"183","2020-09-17",41,29.1428571428571,35,26.8571428571429
"184","2020-09-18",40,31.1428571428571,37,28.2857142857143
